firstName,lastName,teacherId,department,schoolName,class,date,reviewId,clarityRating,difficultyRating,helpfulRating,wouldTakeAgain,textbookUse,comment,ratingTags,teacherNote,grade,attendanceMandatory,isForCredit,isForOnlineClass,thumbs,thumbsDownTotal,thumbsUpTotal
Maggie,Lally,VGVhY2hlci04MjgzNA==,Fine Arts,Adelphi University,SOC224,2020-01-16 19:07:16 +0000 UTC,UmF0aW5nLTMyODQyOTE0,5,3,5,1.0,0.0,Shes an amazing prof. Really open to questions and great at giving helpful advice and tips. I definitely recommend her if youre not an acting major. She really helps you with the technicalities of acting. Shes also just a great listener and really easy to talk too.,Participation matters--Hilarious--Caring,,A,mandatory,True,False,[],0,0
Maggie,Lally,VGVhY2hlci04MjgzNA==,Fine Arts,Adelphi University,THTR101,2011-02-15 23:17:00 +0000 UTC,UmF0aW5nLTE4MjM4MDU5,3,4,2,,1.0,"It&#39;s hard to get past the fact that everyone worships her;  but, she isn&#39;t all that.  She is conceited and oblivious; she has a total disregard for time, despite her students having other priorities besides her class.  She let&#39;s students get away with not taking her assignments seriously, which makes those who do things on time think there&#39;s no poi",,,,,False,False,[],0,1
Maggie,Lally,VGVhY2hlci04MjgzNA==,Fine Arts,Adelphi University,THEA150,2010-04-08 10:01:36 +0000 UTC,UmF0aW5nLTE2OTY0NjAw,5,4,5,,4.0,"she is amazing! you learn so much from her! you just gotta listen and you will get it, she works hard for her students and expects the same from them. i cant say i negative thing about her.",,,,,False,False,[],2,0
Maggie,Lally,VGVhY2hlci04MjgzNA==,Fine Arts,Adelphi University,CAB101,2008-12-21 13:50:58 +0000 UTC,UmF0aW5nLTE1MjU3MDM4,5,3,5,,1.0,Perfection.,,,,,False,False,[],0,0
Maggie,Lally,VGVhY2hlci04MjgzNA==,Fine Arts,Adelphi University,THE101,2008-06-04 21:48:17 +0000 UTC,UmF0aW5nLTE0NTU2NTIy,5,4,5,,3.0,ok. maggie is perfect. she is one of my mentors and has changed my life. her class: read what she tells you to read. be completely open. trust her. do the work...it&#39;s all worth it. she&#39;s incredible,,,,,False,False,[],0,0
Maggie,Lally,VGVhY2hlci04MjgzNA==,Fine Arts,Adelphi University,IMPROV,2005-10-07 11:21:13 +0000 UTC,UmF0aW5nLTEwNzUwMzMz,5,3,5,,,I had Maggie in 2001 and she made the biggest impact on me! I love her!,,,,,False,False,[],0,0
Maggie,Lally,VGVhY2hlci04MjgzNA==,Fine Arts,Adelphi University,CHARACTERDEVEL,2005-09-03 11:43:30 +0000 UTC,UmF0aW5nLTEwMzY1MjMz,5,4,5,,,No Comments,,,,,False,False,[],0,0
Maggie,Lally,VGVhY2hlci04MjgzNA==,Fine Arts,Adelphi University,THEATRE,2005-08-31 09:59:42 +0000 UTC,UmF0aW5nLTEwMzAwODk0,3,4,2,,,"Maggies cool she pushes the students to work hard and is a great way to start studying theatre but, i think she hates me.",,,,,False,False,[],0,0
Maggie,Lally,VGVhY2hlci04MjgzNA==,Fine Arts,Adelphi University,DRAMATICS,2004-12-09 13:40:36 +0000 UTC,UmF0aW5nLTI5NjIwNTg=,4,3,4,,,"Loves her work, and the material she teaches. Gets most of it across to the students. Nice woman to work with.",,,,,False,False,[],0,0
Maggie,Lally,VGVhY2hlci04MjgzNA==,Fine Arts,Adelphi University,IMPROV,2004-11-12 01:23:16 +0000 UTC,UmF0aW5nLTI3MTc1MjI=,5,5,2,,,Sweet lady but occasional mood swings! WHATS UP WITH THE HEAVY WORK LOAD. you&#39;d think we were nursing majors with all this work...,,,,,False,False,[],0,1
