firstName,lastName,teacherId,department,schoolName,class,date,reviewId,clarityRating,difficultyRating,helpfulRating,wouldTakeAgain,textbookUse,comment,ratingTags,teacherNote,grade,attendanceMandatory,isForCredit,isForOnlineClass,thumbs,thumbsDownTotal,thumbsUpTotal
Tianran,Chen,VGVhY2hlci0xMTQzMDIw,Mathematics,Michigan State University,MTH309,2013-05-08 12:11:19 +0000 UTC,UmF0aW5nLTIxNzA2Mzg0,2,4,2,,1,"This professor almost never used the book, and the way he grades the exams and homework is very inconsistent. He only returned 1 homework set out of the 12 we turned in for the semester. Avoid this professor at all costs, he really doesn&#39;t care about if his students gets it or not.",,,,,False,False,[],0,0
Tianran,Chen,VGVhY2hlci0xMTQzMDIw,Mathematics,Michigan State University,MTH124,2011-04-12 21:41:58 +0000 UTC,UmF0aW5nLTE4Mzk4ODMx,3,2,4,,3,He is a good teacher. He is hard to understand at first but you get used to it as the semester goes on. He will help whenever needed and is a nice guy!,,,,,False,False,[],0,0
Tianran,Chen,VGVhY2hlci0xMTQzMDIw,Mathematics,Michigan State University,MTH124,2010-09-27 17:44:13 +0000 UTC,UmF0aW5nLTE3NjE2ODU2,2,1,3,,5,"I didn&#39;t really have a problem with this TA or the class because I took pre-calc and calc in high school. The guy is kinda weird, and not a great teacher, but the class is mostly self-explanatory. He acted like we were stupid sometimes when we didn&#39;t want to answer him and laughed at us, but really you just laugh back. Do most of the homework...",,,,,False,False,[],0,0
Tianran,Chen,VGVhY2hlci0xMTQzMDIw,Mathematics,Michigan State University,MTH124,2010-04-01 02:41:03 +0000 UTC,UmF0aW5nLTE2OTM2NzM1,3,3,4,,3,TR is a great guy / teacher very enthusiastic and sometimes humorous.,,,,,False,False,[],1,0
Tianran,Chen,VGVhY2hlci0xMTQzMDIw,Mathematics,Michigan State University,MATH235,2010-03-19 11:51:53 +0000 UTC,UmF0aW5nLTE2ODg3NDU5,1,4,1,,1,You can&#39;t understand a single word that he says.. i learned more in the 50 minutes of recitation then i did the entire week of his teaching. Try to take another teacher.,,,,,False,False,[],0,0
Sue,Carter,VGVhY2hlci0xMTQzOTEw,Communication,Michigan State University,JRN218,2018-12-15 18:52:10 +0000 UTC,UmF0aW5nLTMxMDQzNTMw,3,4,3,0.0,0,"Don&#39;t buy textbook Midterm is impossible, final is a cakewalk 2 papers with 0 instruction but are easy Her powerpoints look like they were made by a 3 year old Is probably the most unorganized and unclear prof at MSU Her TA didn&#39;t even know where I could find the instructions for an assignment Class is called &#34;sports media&#34; be &#34;Sports history&#34;",Respected--Skip class? You won't pass.--LECTURE HEAVY,,,mandatory,True,False,[],0,0
Sue,Carter,VGVhY2hlci0xMTQzOTEw,Communication,Michigan State University,JRN001,2017-11-02 20:04:34 +0000 UTC,UmF0aW5nLTI4ODI1NTcz,4,3,4,1.0,5,She has a lot of knowledge and experience. If you are struggling and reach out she will definitely help you.,Respected--Skip class? You won't pass.--Clear grading criteria,,B+,mandatory,True,False,[],0,0
Sue,Carter,VGVhY2hlci0xMTQzOTEw,Communication,Michigan State University,JRN218,2014-12-02 13:21:55 +0000 UTC,UmF0aW5nLTIzOTIzMDI5,4,3,3,,3,"Sue Carter is a great person. She&#39;s a good teacher and her homework assignments are easy. The tests are unbelievably difficult, but she may curve the grade if everyone doesn&#39;t do well. If you come to class, listen, participate and ask questions, you should skate out of there with a 3.0 or better. Great guest lectures in this class, too.",,,A-,mandatory,True,False,[],0,0
Sue,Carter,VGVhY2hlci0xMTQzOTEw,Communication,Michigan State University,JRN218,2013-12-10 19:35:11 +0000 UTC,UmF0aW5nLTIyNDk3MDg5,3,4,3,,3,"Prof. Carter likes what she does and is, overall, a nice person. The homework was easy and didn&#39;t happen that often. The tests are pretty much impossible (class high on the midterm was 78%) and count for 60% of your grade. She did curve it though, at least for us.",,,,,False,False,[],0,0
Sue,Carter,VGVhY2hlci0xMTQzOTEw,Communication,Michigan State University,JRN001,2008-08-04 10:38:20 +0000 UTC,UmF0aW5nLTE0NzEyOTIx,4,3,4,,2,"Sue is cool.  She is a fair grader.  She is a wealth of information and she loves to ramble on about pretty much anything.  Her classes are mandatory, remember that.  She&#39;ll give easy homework assignments and impossible tests. Make sure you study a lot for the tests.",,,,,False,False,[],0,0
