firstName,lastName,teacherId,department,schoolName,class,date,reviewId,clarityRating,difficultyRating,helpfulRating,wouldTakeAgain,textbookUse,comment,ratingTags,teacherNote,grade,attendanceMandatory,isForCredit,isForOnlineClass,thumbs,thumbsDownTotal,thumbsUpTotal
Judith,Cohen,VGVhY2hlci04OTQ3Mw==,Education,Adelphi University,LIT2,2012-05-15 23:04:29 +0000 UTC,UmF0aW5nLTIwMjkwNDI2,3,4,3,,3.0,"Wish I had a choice of professors. She runied a lot of 4.0s this semester. You do all the work, hand it in early for her to &#39;fix&#39; it, you make changes and it&#39;s still not good enough. All three projects were due on the same day so you never figure out how you&#39;re doing. -Just lectures at you during the whole class period. Hope you&#39;re ready for that.",,,,,False,False,[],0,4
Judith,Cohen,VGVhY2hlci04OTQ3Mw==,Education,Adelphi University,EDU0814,2010-11-02 11:36:45 +0000 UTC,UmF0aW5nLTE3NzE5OTQx,4,1,3,,1.0,"She is a great teacher.  She is very funny and pationate about what she does.  She loves teaching.  We do a dance at the end of every class, it is a lot of fun and she means well.  Definately take...it&#39;s an experience",,,,,False,False,[],1,1
Judith,Cohen,VGVhY2hlci04OTQ3Mw==,Education,Adelphi University,EDUEDU,2006-10-30 14:12:54 +0000 UTC,UmF0aW5nLTEyMzMyMzcx,1,5,1,,1.0,"DR. Cohen makes attempts at being a genuine person, however, she fails miserably.  She definately plays favorites and makes back-handed remarks which are crass and rude.  Her lessons were non-iinformative and the work that she assigned was very much busy-work with no inspiration behind them.",,,,,False,False,[],0,3
Judith,Cohen,VGVhY2hlci04OTQ3Mw==,Education,Adelphi University,LITERACY,2005-09-18 16:52:31 +0000 UTC,UmF0aW5nLTEwNDI2MTUw,1,5,1,,,"Do not call upon Professor Cohen if you need help, becuase she will not be there for you!  She enjoys put downs and talks about her sons way too much.",,,,,False,False,[],0,2
Judith,Cohen,VGVhY2hlci04OTQ3Mw==,Education,Adelphi University,LIT,2005-04-01 18:08:45 +0000 UTC,UmF0aW5nLTM1NDI0OTg=,1,5,1,,,"Quite unclear and garbled.  She can be rather condescending, puts down students, picks on others, tells people that they need help, yet does not bother to assist those in need.  She was never available when needed for advisement.  Dr. Cohen did not relate the assessments to the information taught.",,,,,False,False,[],0,1
Judith,Cohen,VGVhY2hlci04OTQ3Mw==,Education,Adelphi University,LIT630,2005-01-19 21:36:00 +0000 UTC,UmF0aW5nLTMyNDk2Njg=,4,3,5,,,She is amazing in this class. She was so informative and very down to earth.  I learned a lot from her.,,,,,False,False,[],1,0
Judith,Cohen,VGVhY2hlci04OTQ3Mw==,Education,Adelphi University,LITERACY,2004-10-29 23:21:29 +0000 UTC,UmF0aW5nLTI2MTg3ODQ=,1,1,5,,,"nice person, only thing i learned was that Gail, her childhood friend&#39;s name, is an example of a dipthong .",,,,,False,False,[],0,2
Judith,Cohen,VGVhY2hlci04OTQ3Mw==,Education,Adelphi University,STEP,2004-08-26 22:09:43 +0000 UTC,UmF0aW5nLTI0MjM3NDA=,1,5,1,,,This women told me that I need to seek medical help and should rearrange my life to fit her into her schedule.  She told me that I had a learning disorder...WITHOUT even knowing me,,,,,False,False,[],0,1
Judith,Cohen,VGVhY2hlci04OTQ3Mw==,Education,Adelphi University,LITERACY,2003-10-22 19:58:17 +0000 UTC,UmF0aW5nLTEyMTI1Njk=,2,3,2,,,the woman called me a freak - enough said,,,,,False,False,[],0,1
Judith,Cohen,VGVhY2hlci04OTQ3Mw==,Education,Adelphi University,LITERACY,2003-07-01 18:56:46 +0000 UTC,UmF0aW5nLTEwMzM1NjY=,4,2,5,,,"Dr. Cohen gives a lot of work but if you put the effort into it, you will do fine.  If you need help with anything, you can go to her.",,,,,False,False,[],0,0
