firstName,lastName,teacherId,department,schoolName,class,date,reviewId,clarityRating,difficultyRating,helpfulRating,wouldTakeAgain,textbookUse,comment,ratingTags,teacherNote,grade,attendanceMandatory,isForCredit,isForOnlineClass,thumbs,thumbsDownTotal,thumbsUpTotal
David,Pecan,VGVhY2hlci0xMDI3NjA=,English,Adelphi University,ENG231,2010-12-16 20:22:18 +0000 UTC,UmF0aW5nLTE3OTcwMjgw,5,1,5,,5.0,He tried his best to make the readings interesting by adding funny voices when reading the material. His work is straight forward and asks for minimal work back from student. The most important part is trying to listen to the readings which can be hard because the content of the stuff can be pretty confusing.,,,,,False,False,[],0,0
David,Pecan,VGVhY2hlci0xMDI3NjA=,English,Adelphi University,LIT0122,2010-09-09 13:05:24 +0000 UTC,UmF0aW5nLTE3NTgzMjk3,5,1,5,,3.0,I dunno wtf these ppl are talking about this prof is sooo easy. I wouldn&#39;t pay attention to half the stuff we read in literature in english I and I still got a B+. All you gotta do is ask him what specific readings are going to be on the final test and have a brief understanding of them. He was super nice and fair,,,,,False,False,[],0,0
David,Pecan,VGVhY2hlci0xMDI3NjA=,English,Adelphi University,MEDIEVALAND18,2005-08-19 23:44:16 +0000 UTC,UmF0aW5nLTEwMTQzMzYw,5,5,5,,,"Even though I was advanced, he showed me new ways of working with the subject texts and he gave me feedback that made me a better critic--he is also very understanding one on one--he is fun to spend time with in social situations--so smart and nice",,,A+,N,False,False,[],0,0
David,Pecan,VGVhY2hlci0xMDI3NjA=,English,Adelphi University,WRITINGLIT,2005-06-23 01:04:35 +0000 UTC,UmF0aW5nLTQwMjQ4NTU=,4,2,5,,,very dedicated to teaching and always willing to help,,,,,False,False,[],0,0
David,Pecan,VGVhY2hlci0xMDI3NjA=,English,Adelphi University,MEDIEVALLIT,2005-06-14 10:55:49 +0000 UTC,UmF0aW5nLTM5OTU0Nzg=,5,3,4,,,"He was a great professor. I loved his lectures because he always knew what he was talking about. Hardly reads from notes, is very intelligent. Knows all the material to such a great extent. Great middle english accent. Great insight to all texts. If you want a professor who knows what he is talking about, he is the way to go.",,,,,False,False,[],0,0
David,Pecan,VGVhY2hlci0xMDI3NjA=,English,Adelphi University,ARTSANDCRAFT,2005-03-28 18:22:43 +0000 UTC,UmF0aW5nLTM1MTQzMDU=,5,4,4,,,"I actually enjoyed his class, maybe b/c English is my favorite subject.His essays can be a bit too much, yet it helps you in the long run. One thing I love about his class are the random stories, which actually fits with the subject of discussion. But beware,you must buy the books for his class.",,,,,False,False,[],0,0
David,Pecan,VGVhY2hlci0xMDI3NjA=,English,Adelphi University,CHAUCERSHAKES,2004-12-09 21:26:47 +0000 UTC,UmF0aW5nLTI5Njg4Mjg=,4,3,4,,,has to be one of the best english professors i&#39;ve had in my college career thus far; provides insightful commentary on the texts; you learn A LOT if you pay close attention,,,,,False,False,[],0,0
David,Pecan,VGVhY2hlci0xMDI3NjA=,English,Adelphi University,CHAUCER,2004-03-21 22:55:37 +0000 UTC,UmF0aW5nLTE4MzAxNzE=,4,4,3,,,"very bright, does a great middle english accent, quite funny at times, hes a good prof",,,,,False,False,[],0,0
David,Pecan,VGVhY2hlci0xMDI3NjA=,English,Adelphi University,COMP,2003-11-25 14:29:32 +0000 UTC,UmF0aW5nLTEzOTM5NTk=,4,5,5,,,"He is my favorite teacher so far.  The reading is pretty difficult, but I&#39;ve learned alot about writing.  Very helpful one on one.",,,,,False,False,[],0,0
David,Pecan,VGVhY2hlci0xMDI3NjA=,English,Adelphi University,SHAKESPEAR,2003-11-14 09:19:24 +0000 UTC,UmF0aW5nLTEzMjQyOTk=,5,5,5,,,"really interesting lectures, ties in ideas from one play to the next.  Hard grader, but fair and helpful.  Best english class I&#39;ve taken.",,,,,False,False,[],0,0
